Metin,metin_lemmatized
evet anlatıldığı gibi,"['evet', 'anlatıldık']"
Daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,"['önce', 'al', 'cihaz', 'ense', 'sakal', 'tüketmek', 'on', 'numara', 'sıfır', 'yak', 'al']"
Ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.Hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,"['ürün', 'gayet', 'başarılı', 'sakal', 'kesme', 'başlık', 'sayı', 'biraz', 'fazla', '', 'a', 'yak', '', 'kirli', 'sakal', 'numara', 'başlık', 'ideal']"
Daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,"['önce', 'aynısı', 'al', 'güzel', 'kaliteli', 'bir', 'ürün']"
Erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,"['erkek', 'kuaför', 'ense', 'sıfır', 'sakal', '', 'uygun', 'bir', 'ürün']"
ürün gerçekten çok güzel,"['ürün', 'gerçekten', 'güzel']"
Ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,"['ürün', 'bekledik', 'güzel', 'çıktı', 'gayet', 'kullanışlı', '', 'bir', 'iki', 'numara', 'saha', 'ol', '', 'harika']"
güzel makina tavsiye ederim,"['güzel', '', 'tavsiye', 'eder']"
tavsiye edebileceğim çok güzel bir makina,"['tavsiye', 'edebil', 'güzel', 'bir', '']"
"ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.","['ürün', 'geldiğinde', 'şarj', 'var', 'ilk', '', 'önce', 'saat', 'kadar', 'şarj', 'kal', 'yaklaşık', '', 'kadar', 'kesintisiz', 'kullan', '', 'şarj', 'iyi', 'seviye', '', 'kullanım', 'süreç', 'ısın', 'ben', 'saç', '', 'oldu', 'herhangi', 'bir', '', '', 'sorun', 'yaşa', 'saç', 'seyrel', 'ince', 'telli', 'uzunluk', '', 'kadar', 'taraksız', '', 'oldu', 'performans', 'devam', 'eder', 'mükemmel', 'bir', 'ürün', 'diyebil']"
Ürün sadece aldığım gün güzel bir şekilde kesti. sonrasında saatlerce uğraşıp sadece sakalımı toplayabildim. Allah kahretsin başka bı makine alacam ama bu sefer powertec mi ? ASLA,"['ürün', 'sade', 'aldık', 'gün', 'güzel', 'bir', 'şekil', 'kes', 'sonra', 'saatlerce', 'uğraşıp', 'sade', 'sakalı', 'toplayabil', 'Allah', 'kahret', 'başka', '', 'makine', 'alaca', 'sefer', '', 'mi', 'asla']"
denedim ürün çok güzel herkese tavsiye ederim,"['dene', 'ürün', 'güzel', 'herkes', 'tavsiye', 'eder']"
ürün harika tam istediğim gibi ayrıca mağazaya da teşekkürler hızlı oldukları için,"['ürün', 'harika', 'tam', 'istedik', 'ayrı', 'mağaza', 'teşekkür', 'hızlı', 'olduk']"
Ürün hala elime geçmedi,"['ürün', 'hala', 'elim', 'geç']"
Bir kere kullandım memnun kaldım,"['bir', 'kere', 'kullan', 'memnun', 'kal']"
35 TL ye berber makinesi powertec almıştım. 300 liraya aldığım dünya markası yerine onu kullandım. powertec yine şaşırtmadı harika bir ürün. genelde sakal kesiyorum çok iyi kesiyor. hiç yoruma felan bakmayın daha alın gitsin.,"['', 'ye', 'berber', 'makine', '', 'al', 'lira', 'aldık', 'dünya', 'marka', 'yerine', 'on', 'kullan', '', 'yine', 'şaşırt', 'harika', 'bir', 'ürün', 'genel', 'sakal', 'kes', 'iyi', 'kes', 'yorum', '', 'bak', 'al', 'git']"
Ürün çalışıyor şimdilik,"['ürün', 'çalış', 'şimdilik']"
tam istedigim gbi orjinal,"['tam', '', '', '']"
"Ürün, kullanım açısından kolay. Yanında 1mm 2mm 3mm başlıkları ile geliyor. Sakal traşım ve şekil verme konularında bir sıkıntısını görmedim.","['ürün', 'kullanım', 'açı', 'kolay', 'yanında', '', '', '', 'başlık', 'gel', 'sakal', '', 'şekil', 'ver', 'konu', 'bir', 'sıkıntı', 'gör']"
hiç dusunmeden alın derim jilet gibi kesiyor,"['', 'al', 'deri', 'jilet', 'kes']"
Ürün anlatıldığı gibi Hızlı kargo,"['ürün', 'anlatıldık', 'hızlı', 'kargo']"
"ürünü beğendim ve tekrar sipariş verdim. paketleme daha korunakli olmali,kargo poşedi yeterli degil bence.","['ürün', 'beğen', 'tekrar', 'sipariş', 'verdi', 'paketle', '', '', '', 'yeterli', '', 'ben']"
baya iyi çok memnun kaldım,"['bay', 'iyi', 'memnun', 'kal']"
Ürün anlatıldığı gibi bu fiyata bundan iyisini bulamazsın.. marka takıntısı olan yoksa bu ürün çok idaal... sakalları sıfıra yakın kesiyor...,"['ürün', 'anlatıldık', 'fiyat', 'bun', 'iyi', 'bula', 'marka', 'takıntı', 'olan', 'yoksa', 'ürün', '', 'sakal', 'sıfır', 'yak', 'kes']"
"güzel ürün f/p canavarı, dayanıklı çıkar umarım, teşekkürler","['güzel', 'ürün', '', 'canavar', 'dayanıklı', 'çık', 'umar', 'teşekkür']"
"Aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.","['aynı', 'gün', 'kargo', 'veril', 'gün', 'sonra', 'sabah', 'elim', 'ulaş', 'paketle', 'güzel', 'şarj', 'stant', 'sorunsuz', 'çalış', '', 'şarj', 'ol', 'kesim', 'gayet', 'başarılı', 'tavsiye', 'eder']"
"İlk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 20 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 20 ye yakın tıraş yaptı doldurunca nekadar gider Allah bilir. Bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, Sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....","['ilk', 'ön', 'tereddüt', 'et', 'iyi', 'al', 'alalı', 'ay', 'oldu', 'olmuş', 'sakal', 'tıraş', 'ol', 'şarj', 'bağlamadan', 'ye', 'yak', 'tıraş', 'yap', 'doldurunca', '', 'git', 'Allah', 'bilir', 'bıçak', 'kaliteli', 'çek', 'kopar', 'yap', '', 'hızlı', 'jilet', 'bir', 'tık', 'üst', 'kes', 'sessiz', '', 'bıçak', 'kullanışlı', 'sakal', 'ense', 'bir', 'bir', 'tavsiye', 'eder']"
"Sakal için ideal, saç için kullanmıyorum. Philips makinalar para tuzağı.","['sakal', 'ideal', 'saç', 'kullan', '', '', 'para', 'tuzak']"
Ürün güzel beğendim,"['ürün', 'güzel', 'beğen']"
Merhabalar ürün anlatıldığı gibi geldi.Eksiksiz ve gayet şık.Daha kullanmadim.Ancak almadan önce arastirmistim.Ona göre sipariş verdim.,"['merhaba', 'ürün', 'anlatıldık', '', 'gayet', '', '', 'almadan', 'ön', '', 'göre', 'sipariş', 'verdi']"
ürün fiyatina gore guzel bekledigimden guzel ??,"['ürün', '', '', '', '', '']"
hızlı ve özenli kargo teşekkürler.,"['hızlı', 'özenli', 'kargo', 'teşekkür']"
urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik,"['ur', 'gel', '', 'bekli', '', '', '', '', '', 'de', 'ur', 'gel', '']"
urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.,"['ur', '', '', '', 'gel', '', 'memnun', '', '', '', 'ur']"
Ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 2 günde elime ulaştı herhangi bir problem yok,"['ürün', 'anlatıldık', 'mağaza', 'yorum', 'korkut', 'fakat', 'ürün', 'günde', 'elim', 'ulaş', 'herhangi', 'bir', 'problem', 'yok']"
Ürünler kaliteli teşekkürler,"['ürün', 'kaliteli', 'teşekkür']"
Çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi,"['beğen', 'çocuk', 'saç', 'rahatlık', 'kesebil', 'tam', 'istedik']"
Ürün şık ve kullanışlı,"['ürün', 'şık', 'kullanışlı']"
urun cok guzel siddetle tavsiye ederim 2 adet aldim,"['ur', '', '', '', 'tavsiye', 'eder', 'adet', '']"
güzel ürün tavsiye ederim,"['güzel', 'ürün', 'tavsiye', 'eder']"
Makine gayet iyi memnun kaldım fakat şarj unitesi çalışmıyordu iade etmekle uğraşmak istemedim usb ile şarj olabiliyor ??,"['makine', 'gayet', 'iyi', 'memnun', 'kal', 'fakat', 'şarj', '', 'çalış', 'iade', 'etmek', 'uğraşmak', 'iste', '', 'şarj', 'olabil']"
ÜRÜN GAYET KULLANIŞLI UMARIM UZUN ÖMÜRLÜ OLUR TEŞEKKÜRLER,"['ürün', 'gayet', '', '', 'uzun', 'ömürlü', 'olur', 'teşekkür']"
bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım,"['makine', 'ikinci', 'alış', 'gayet', 'iyi', 'bir', '', 'sakal', 'öner', '', '', 'alış', 'olumsuz', '', 'karşılaş']"
hızlı satıcı problem yok,"['hızlı', 'satıcı', 'problem', 'yok']"
